Year,Lobbyist Name,Principal,Lobbyist’s Firm,Additional Lobbyists,Lobbying Matter,First Half (Jan1 – June 30),Second Half (July1 – DEC 31),Reference URL for First Half,Reference URL for Second Half
2013,Robert R. Harris,"Clarksburg Outlet Center, LLC","Lerch Early & Brewer, Chartered",,Land Use approval.,6450.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=44,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=44
2016,Ashlie Bagwell,The Gordian Group,Harris Jones & Malone,,All matters related to contracting services,500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=634,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=634
2016,Robert R. Harris,"Adventist HealthCare, Inc.","Lerch, Early & Brewer, Chtd.",,Land use approvals.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=569,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=569
2015,"David D. Freishtat, Esquire","A.R. Kronstadt Realty Investors, Inc.","Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,White Flint Sector Plan,0.00,10602.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=336,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=336
2020,Jocelyn Irene Collins,American Cancer Society Cancer Action Network,American Cancer Society Cancer Action Network,,"Access to health care, Cancer prevention, Early detection and screening and research, Obesity reduction and prevention, Nutrition and physical activity in schools and workplace, Tobacco use prevention and reduction,Tobacco control",5000.00,5000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2334,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2334
2016,Peter A Tomao,Coalition for Smarter Growth,Coalition for Smarter Growth,,Pro transit and smart growth issues in Montgomery County,0.00,176.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=674,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=674
2021,Heather Dlhopolsky,Amazon.com Services LLC,Wire Gill LLP,,General land use and zoning matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2535,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2535
2014,Emily J. Vaias,Hadjin Associates LLC,Linowes and Blocher LLP,Samantha L. Mazo,Bethesda Master Plan,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=318,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=318
2018,Gerard Evans,Maryland Asphalt Association,"Gerard E. Evans, Ltd.",Hayley Evans,Any and all matters affecting the asphalt/paving/construction industry in general.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2069,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2069
2015,Robert J. Garagiola,Montgomery County Career Fire Fighters,"Alexander & Cleaver, P.A.",,General budget issues in Montgomery County and employee benefits.,2000.00,1500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=339,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=339
2020,C. Robert Dalrymple,B.F. Saul Company,Linowes and Blocher LLP,Matthew M. Gordon,Abandonment of Public Alley,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2335,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2335
2023,Steven Silverman,"Wisconsin Columbia Venture,LLC","SSGOVRELATIONS,LLC",,Real estate,3587.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2822,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2822
2019,Patricia A. Harris,"Westfield, LLC","Lerch, Early & Brewer, Chtd.",,"Wheaton Plaza Regional Shopping Center:  Zoning, master plan, and general land use matters.,Montgomery Mall:  Zoning, master plan, and general land use matters.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2202,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2202
2014,Erica A. Leatham,Monument Realty,Ballard Spahr LLP,Raquel D. Montenegro,Redevelopment of the Montgomery Village Golf Course,9576.00,372.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=210,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=210
2014,"Devin J. Doolan, Esq.",Catholic Charietis of the Archdiocese of Washingto,"Furey, Doolan & Abell, LLP",,Monitor all regulation and legislation proposasl potentially impacting Charities' mission and operations,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=168,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=168
2020,Robert Garagiola,Montgomery County Career Fire Fighters Association,"Compass Government Relations Partners, LLC",,"Labor Matters,Public Safety Matters",4050.00,10806.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2375,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2375
2024,Katherine M. Noonan,Coalition of Multifamily Property Stakeholders,Law Firm,,Represent a coalition of multifamily property stakeholders in seeking modifications to proposed rent control regulations and addressing other related local law matters.,16250.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2989,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2989
2018,Steve Silverman,Chevy Chase Club Inc.,"SSGovRelations, LLC",,General real estate matters,0.00,12500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2122,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2122
2020,Hillery Tsumba,Primary Care Coalition,Primary Care Coalition,,Occasional meetings with County elected officials and their staff related to policy matters relevant to the Primary Care Coalition's mission of improving the health of vulnerable individuals and families to by building partnerships and strengthening systems.,646.00,480.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2354,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2354
2016,Jody S. Kline,Shorb Land & Development Co. Inc.,"Miller, Miller & Canby",,Presentation before Council regarding Westbard Sector Plan,3228.00,621.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=632,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=632
2013,Christopher M. Ruhlen,"Finmarc Management, Inc.","Lerch, Early & Brewer, Chtd.",,Long Branch Sector Plan,0.00,4294.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=159,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=159
2023,Robert Garagiola,Montgomery County Career Fire Fighters Association,"Compass Government Relations Partners, LLC",,"Budget/Funding matters,Collective bargaining,Labor & Employment matters",7425.00,7575.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2839,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2839
2019,William Kominers,"Medical Park Associates, LLLP","Lerch, Early & Brewer, Chtd.",Susan M. Reutershan,Forest Glen/Montgomery Hills Sector Plan and Sectional Map Amendment.,0.00,9417.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2288,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2288
2019,Ashlie Bagwell,Moonlight Inc.,Harris Jones & Malone,,"Any and all matters related to the Subdivision Staging Policy with respect to the project located at 850 Sligo Avenue, Silver Spring, Maryland",6000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2195,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2195
2025,steve silverman,Polinger Company,"SSGOVRELATIONS,LLC",,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3051,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3051
2014,Robert J. Garagiola,"ecoATM, Inc.","Alexander & Cleaver, P.A.",,Preventing passage of APM Prohibition Legislation in Montgomery County Maryland.,14025.00,24125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=258,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=258
2024,Brad Frome,Edens,Managing Partner,Justin Ross,Regulatory Matters,20000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2919,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2919
2013,"Larry A. Gordon, Esquire",Anne and Daniel Taylor,"Shulman, Rogers, Gandal, Pordy & Ecker, PA","Timothy Dugan, Esquire",Zoning Text Amendment 13-04 (Zoning Ordinance Rewrite),0.00,19259.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=130,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=130
2025,steve silverman,"Peel Properties,Inc.",SSGOVRELATIONS.LLC,,Real estate matters,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3054,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3054
2023,Stewart Schwartz,Coalition for Smarter Growth (parent org is Piedmo,Coalition for Smarter Growth (parent org is Piedmo,,"Land use issues, including transit-oriented development and small area plans; better transit; affordable housing; safe streets",156.00,114.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2868,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2868
2019,James Agliata,"Westfield, LLC","Westfield, LLC",Amirali Nasserian,"Wheaton mall development projects.,Montgomery mall development projects.",24975.00,9814.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2171,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2171
2014,Steve Cotton,Novartis Vaccines,Novartis Vaccines,,Matters concerning preventative treatments.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=270,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=270
2016,Steven A.Silverman,CP7272 Wisconsin Aveenue LLC,"SSGOVRELATIONS,LLC",,Real estate,0.00,15000.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=753,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=753
2016,Ashlie Bagwell,Cerner Corporation,Harris Jones & Malone,,Any and all matters related to a Montgomery County employee health clinic,750.00,750.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=636,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=636
2016,Robert R. Harris,Streetscape Partners,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",260.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=574,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=574
2015,William Kominers,Bikur Cholim of Greater Washington,"Lerch, Early & Brewer, Chtd.",,Zoning Text Amendment (ZTA) 15-08,0.00,1666.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=501,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=501
2013,C. Robert Dalrymple,Southern Management Corporation,Linowes and Blocher LLP,Heather Dlhopolsky,Summit Hills - Silver Spring.  R-10 Zone Amendments/Zoning Ordinance Rewrite.,0.00,4109.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=143,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=143
2019,Francoise Marie Carrier,Marcia Docter,"Bregman, Berbert, Schwartz & Gilday, LLC",,Forest Glen/Montgomery Hills Sector Plan,0.00,6672.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2285,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2285
2020,William Kominers,"Medical Park Associates, LLLP","Lerch, Early & Brewer, Chtd.",Susan M. Reutershan,Forest Glen/Montgomery Hills Sector Plan and Sectional Map Amendment.,3944.00,5568.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2331,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2331
2023,Barbara Zektick,Route Reports,"Z&C, LLC",,administrative - AI deployment for road inspections,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2874,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2874
2024,Amy Prentice,"AstraZeneca Pharmaceuticals, LP","AstraZeneca Pharmaceuticals, LP",,Building Energy Performance Standards Regulation,427.00,85.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2998,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2998
2021,Steven Silverman,Polinger Company,SSGOVRELATIONS LLC,,Real estate issues,7500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2511,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2511
2022,Stacy P. Silber,Federal Realty Investment Trust,"Lerch, Early & Brewer, Chtd.",,Real estate legislative matters including the White Flint Special Taxing District.,1037.00,4880.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2638,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2638
2022,Jonathan M Genn,Global LifeSci Development Corporation,Jonathan M Genn,,Land use regulatory matters relating to potential development of unimproved land in White Oak area of Montgomery County.,5000.00,5020.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2649,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2649
2020,Robert Garagiola,Lockheed Martin Corporation,"Compass Government Relations Partners, LLC",,"Tax Matters,Labor and Employment Matters,Matters impacting corporations",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2412,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2412
2014,Jody S. Kline,"Alvin Aubinoe, III","Miller, Miller & Canby",Soo Lee-Cho,"Zoning rewrite, proposed zoning re: District Map Amendment G-956 and subsequent potential text amendments relating to the rewrite and map amendment",10003.00,4541.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=277,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=277
2019,Steven Silverman,The NonProfit Village,SSGOVRELATIONS,,County funding,10000.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2234,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2234
2022,William Kominers,"Blair Towers, LLC","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, pending legislation, and general land use matters.",6157.00,1281.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2631,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2631
2024,Cristian Grueso,Afro Latino Development Fund,Afro Latino Development Fund LLC,,"The lobbying will be to revise legislation for communities migrating to Montgomery County and other counties in Maryland. The aim will be to get more help for necessities such as health, education, and housing.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3010,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3010
2014,Jody S. Kline,Quadrangle Development Corporation,"Miller, Miller & Canby",Soo Lee-Cho,"Zoning rewrite, proposed zoning re: District Map Amendment G-956 and subsequent potential text amendments relating to the rewrite and map amendment",29392.00,29864.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=276,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=276
2025,Ashlie Bagwell,"MCB Property Services, Inc.","Harris Jones & Malone, LLC","Lisa Jones, Sean Malone",Any and all matters related to the development of Viva White Oak,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=3083,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=3083
2024,Steve silverman,The Donohoe Companies,"SSGOVRELATIONS,LLC",,Real estate matters,6250.00,6250.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2929,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2929
2024,Roger Manno,Mid Atlantic Pipe Trades Association,Manno & Associates LLC,,"Matters generally relating to union construction contracting, prevailing wages, project labor agreements, workplace fraud, wage theft, misclassification, etc.",0.00,45125.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2915,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2915
2017,Robert R. Harris,Tusculum Farm Trust,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,4013.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=791,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=791
2019,Gino Renne,UFCW Local 1994,UFCW Local 1994,"Lisa Blackwell-Brown, Amy Millar",To lobby issues pertaining to membership representational purposes and matters related to collective bargaining,2089.00,350.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2708,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2708
2023,Steven Silverman,Rockville Housing Enterprises,"SSGOVRELATIONS,LLC",,Real estate matters,6250.00,8332.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2854,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2854
2020,Megan Michelle Eaves,Baltimore Gas & Electric Company,Baltimore Gas & electric Company,,"All legislative and executive actions regarding electric and gas public utilities, energy, and energy related products.",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2340,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2340
2019,Todd D. Brown,Greenhill Capital Corporation,"Shulman, Rogers, Gandal, Pordy & Ecker, P.A.",,Montgomery County legislation in general and potential acquisition of Montgomery County surface parking lots.,0.00,4714.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2283,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2283
2013,Anne M. Mead,Halpine Park LLC,Linowes and Blocher LLP,,Minor Master plan amendments and Aspen Hill master plan,2100.00,2600.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=67,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=67
2022,Steven Silverman,"Saul Centers,Inc.","SSGOVRELATIONS,LLC",,Real estate,7500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2597,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2597
2017,Steven A. Silverman,"FIVE MILE CAPITAL II LAKE FOREST SPE,LLC","SSGOVRELATIONS, LLC",,Real estate matters,16667.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=858,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=858
2017,Robert R. Harris,"Battery Lane Enterprises I & II, LP","Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=785,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=785
2015,Patricia A. Harris,The Shelter Group,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",2550.00,2754.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=459,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=459
2016,Christopher M. Ruhlen,Old Georgetown Office Park Condominium,"Lerch, Early & Brewer, Chtd.",,"Zoning, master plans, and general land use matters.",0.00,949.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=761,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=761
2023,William Ellis,"Pepco Holdings, Inc.","Pepco Holdings, Inc.",,All matters affecting the energy and utilities industry.,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2768,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2768
2016,Meredith R Weisel,Jewish Community Relations Council of Greater Wash,Jewish Community Relations Council of Greater Wash,Ron Halber,Matters affecting the Jewish community,3127.00,10223.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=698,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=698
2018,Hillery Tsumba,Primary Care Coalition,Primary Care Coalition,,"Operating Budget
Legislation pertaining to health care access and health equity.",1379.00,129.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2111,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2111
2013,"Elsie R. Reid, Esq.",Wonders Child Care,"Furey, Doolan & Abell, LLP",,Concerns issues related to the Inter-Agency Coordinating Board and the Community Use of Public Facilities Office with respect to the allocation and award of facilities usage by childcare providers,0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=20,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=20
2019,Josh White,Pavement Coatings Technology Council,Perry White Ross & Jacobson,,All matters concerning pavement coatings,500.00,600.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2271,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2271
2014,Stephen J. Orens,"Mid-Atlantic Companies, Inc.",Miles & Stockbridge,,Zoning Ordinance Revision,1500.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=281,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=281
2018,Gerard Evans,Life Changing Experiences,"Gerard E. Evans, Ltd.",Hayley,"Education funding, education programs",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2070,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2070
2017,Camille G. Fesche,Montgomery Child Care Coalition,"Alexander & Cleaver, P.A.",,Legislative and regulatory initiatives in Montgomery County that may affect the quality.,0.00,1525.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=965,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=965
2022,Laura Wallace,Jews United for Justice,Jews United for Justice,,"Various bills and county policies related to social, racial, and economic justice, especially focused on matters related to policing and police in schools and rights and protections for renters and workers.",2447.00,5176.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2724,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2724
2021,Heather Dlhopolsky,MileOne Autogroup,Wire Gill LLP,,Connecticut Avenue Property,0.00,900.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2571,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2571
2022,Steven Silverman,Guardian Realty,"SSGOVRELATIONS,LLC",,Real estate issues,17500.00,17500.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2612,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2612
2017,Barbara A. Sears,Glenstone Foundation,Linowes and Blocher LLP,Scott C. Wallace,Glenstone,7789.00,1407.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=963,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=963
2017,Joseph Russell Davis,Francis O. Day III,Self-employed Planner,,Zoning Text Amendment 17-04 Country Inn -Standards,0.00,12300.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=960,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=960
2015,Todd D. Brown,Greenhill Capital Corporation,Linowes and Blocher LLP,,Fairmont Avenue Property,0.00,6900.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=519,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=519
2022,Jason Ascher,Mid-Atlantic Pipe Trades Association,N/A,,"Prevailing Wage
Project Labor Agreements
Responsible Bidder Ordinances
Licensing
Worker Issues",0.00,0.00,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=1&id=2685,https://www2.montgomerycountymd.gov/Lobbyist/ViewReportingPublic.aspx?qtr=2&id=2685
