File Number,Date,Source,Allegation,Status,Finding,Case Status
22-0030,02/08/2022,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0156,09/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0166,07/25/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0016,01/27/2016,Internal,Discrimination/Harassment,Completed,Sustained,
16-0106,05/17/2016,Internal,Use of Force,Completed,Exonerated,
16-0106,05/17/2016,Internal,Conformance to Law,Completed,Exonerated,
14-0034,02/20/2014,Internal,Conformance to Law Re: Criminal,Completed,Administrative Closure,
14-0003,01/09/2014,External,Untruthful Statements,Completed,Exonerated,
16-0016,01/27/2016,Internal,Untruthful Statements,Completed,Sustained,
16-0138,06/22/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0003,01/09/2014,External,Secondary Employment,Completed,Sustained,
16-0245,10/17/2016,External,Use of Force,Completed,Declined,
16-0016,01/27/2016,Internal,Conduct Unbecoming,Completed,Sustained,
14-0034,02/20/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure,
16-0201,08/23/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0201,08/23/2016,External,Courtesy,Completed,No Corrective Action Tak,
16-0192,08/16/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0229,09/20/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0083,04/20/2016,External,Abuse of Authority,Completed,No Corrective Action Tak,
16-0229,09/20/2016,External,Courtesy,Completed,No Corrective Action Tak,
16-0072,04/11/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0160,07/19/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0098,05/10/2016,Internal,Conduct Unbecoming,Completed,Insufficent Evidence,
16-0160,07/19/2016,External,Carry Credent/Identification,Completed,Corrective Action Taken,
16-0200,08/22/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0179,08/08/2016,External,Conformance to Law,Completed,No Corrective Action Tak,
16-0072,04/11/2016,Internal,Abuse of Authority,Completed,No Corrective Action Tak,
21-0204,11/02/2021,External,Courtesy,Completed,No Corrective Action Tak,
16-0098,05/10/2016,Internal,Use of Force,Completed,Exonerated,
16-0086,04/21/2016,External,Courtesy,Completed,Corrective Action Taken,
16-0184,08/15/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0149,07/05/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0072,04/11/2016,Internal,Discrimination/Harassment,Completed,No Corrective Action Tak,
16-0259,10/27/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0185,08/15/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0193,08/17/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0152,07/06/2016,External,Carry Credent/Identification,Completed,Corrective Action Taken,
16-0086,04/21/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0168,07/25/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0098,05/10/2016,Internal,Conformance to Law,Completed,Exonerated,
16-0210,09/07/2016,External,Conformance to Law,Completed,No Corrective Action Tak,
16-0243,10/13/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0269,11/08/2016,External,Use of Force,Completed,Declined,
16-0114,05/26/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0270,11/08/2016,External,Conformance to Law,Completed,Declined,
16-0276,11/10/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0165,07/25/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0244,10/17/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0207,09/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0146,06/29/2016,External,Abuse of Authority,Completed,Administrative Closure,
16-0187,08/16/2016,External,Carry Credent/Identification,Completed,No Corrective Action Tak,
16-0146,06/29/2016,External,Courtesy,Completed,Administrative Closure,
16-0231,09/26/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0198,11/03/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
16-0136,06/21/2016,Internal,Compliance with Orders,Completed,Sustained,
15-0198,11/03/2015,Internal,Conduct Unbecoming,Completed,Unfounded,
19-0027,02/14/2019,External,Soliciting/Endorsements,Completed,Administrative Closure,
16-0223,09/19/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0198,11/03/2015,Internal,Conformance to Law,Completed,Unfounded,
16-0195,08/17/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0219,09/13/2016,Internal,Property,Completed,Corrective Action Taken,
16-0134,06/21/2016,Internal,Compliance with Orders,Completed,Sustained,
16-0219,09/13/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0290,11/18/2016,External,Conformance to Law,Completed,Declined,
16-0029,02/10/2016,Internal,Conduct Unbecoming,Completed,Sustained,
16-0289,11/18/2016,External,Conformance to Law,Completed,Declined,
16-0029,02/10/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
16-0294,11/29/2016,External,Conformance to Law,Completed,Declined,
16-0237,09/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0123,06/02/2016,Internal,Att to Duty/Use Alch-Drugs,Completed,Sustained,
16-0218,09/13/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0297,12/05/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0247,10/17/2016,External,Courtesy,Completed,No Corrective Action Tak,
16-0232,09/26/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0212,09/07/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0109,05/23/2016,Internal,Use of Force,Completed,Exonerated,
16-0067,04/04/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0031,02/16/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0012,01/14/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0160,09/10/2020,External,Courtesy,Completed,Declined,
19-0257,12/30/2019,External,Courtesy,Completed,Unfounded,
16-0023,02/03/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0257,12/30/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
16-0254,10/25/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0264,11/04/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0254,10/25/2016,Internal,Courtesy,Completed,Corrective Action Taken,
20-0160,09/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0198,08/22/2016,External,Conformance to Law,Completed,Exonerated,
16-0198,08/22/2016,External,Use of Force,Completed,Exonerated,
16-0241,10/13/2016,Internal,Conformance to Law,Completed,Administrative Closure,
16-0312,12/28/2016,External,Conformance to Law,Completed,Declined,
16-0310,12/28/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0075,04/11/2016,External,Use of Force,Completed,Exonerated,
16-0258,10/26/2016,Internal,Secondary Employment,Completed,Administrative Closure,
16-0107,05/20/2016,External,Conformance to Law,Completed,Insufficent Evidence,
16-0327,01/05/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
19-0251,12/17/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
16-0324,01/05/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0138,08/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence,
16-0328,01/05/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
21-0004,01/13/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0075,04/11/2016,External,Conformance to Law,Completed,Exonerated,
19-0228,11/19/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0325,01/05/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
16-0323,01/05/2017,External,Conformance to Law,Completed,Declined,
16-0334,01/11/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
16-0330,01/09/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0305,12/12/2016,Internal,Maintenance of Property,Completed,No Corrective Action Tak,
16-0293,11/29/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0274,11/08/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0279,11/14/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0162,07/20/2016,Internal,Conformance to Law,Completed,Administrative Closure,
16-0331,01/09/2017,External,Conduct Unbecoming,Completed,Sustained,
16-0063,03/21/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0225,12/17/2015,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Insufficent Evidence,
15-0225,12/17/2015,Internal,Discrimination/Harassment,Completed,Sustained,
16-0336,01/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0253,10/25/2016,External,Property,Completed,Corrective Action Taken,
15-0164,09/09/2015,Internal,Att to Duty/Use Alch-Drugs,Completed,Sustained,
16-0280,11/14/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0227,09/20/2016,External,Property,Completed,No Corrective Action Tak,
21-0085,05/12/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0271,11/08/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0273,11/08/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0246,10/17/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0164,09/09/2015,Internal,Conduct Unbecoming,Completed,Sustained,
16-0272,11/08/2016,External,Courtesy,Completed,No Corrective Action Tak,
15-0164,09/09/2015,Internal,Abuse of Authority,Completed,Sustained,
15-0164,09/09/2015,Internal,Conformance to Law,Completed,Sustained,
16-0227,09/20/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0108,05/20/2014,External,Conformance to Law,Completed,Sustained,
15-0164,09/09/2015,Internal,Courtesy,Completed,Sustained,
16-0278,11/14/2016,External,Conformance to Law,Completed,Corrective Action Taken,
14-0108,05/20/2014,External,Conduct Unbecoming,Completed,Sustained,
16-0257,10/25/2016,External,Courtesy,Completed,Corrective Action Taken,
16-0292,11/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0118,06/04/2014,Internal,Conformance to Law,Completed,Sustained,
17-0017,01/26/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
14-0118,06/04/2014,Internal,Conduct Unbecoming,Completed,Sustained,
16-0044,03/01/2016,External,Conformance to Law,Completed,Administrative Closure,
15-0210,11/24/2015,Internal,Conduct Unbecoming,Completed,Administrative Closure,
16-0111,05/23/2016,Internal,Discrimination/Harassment,Completed,Insufficent Evidence,
16-0163,07/21/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0287,11/18/2016,External,Conformance to Law,Completed,Declined,
16-0255,10/25/2016,External,Secondary Employment,Completed,Corrective Action Taken,
16-0209,09/07/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0025,02/08/2016,External,Use of Force,Completed,Exonerated,
16-0145,06/23/2016,External,Conformance to Law,Completed,Corrective Action Taken,
20-0045,02/21/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0335,01/11/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
16-0025,02/08/2016,External,Courtesy,Completed,Insufficent Evidence,
16-0174,07/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0043,03/01/2016,Internal,Use of Force,Completed,Administrative Closure,
20-0046,02/21/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0255,10/25/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0250,10/18/2016,External,Conformance to Law,Completed,Declined,
16-0026,02/10/2016,External,Conformance to Law,Completed,Administrative Closure,
16-0283,11/14/2016,External,Use of Force,Completed,Declined,
16-0326,01/05/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
16-0250,10/18/2016,External,Discrimination/Harassment,Completed,Declined,
16-0282,11/14/2016,External,Discrim/Race/Sex,Completed,Declined,
16-0285,11/16/2016,Internal,Courtesy,Completed,Corrective Action Taken,
20-0154,09/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0318,01/04/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0285,11/16/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0027,02/14/2019,External,Conformance to Law,Completed,Unfounded,
16-0255,10/25/2016,External,Conduct Unbecoming,Completed,No Corrective Action Tak,
16-0111,05/23/2016,Internal,Conformance to Law,Completed,Insufficent Evidence,
16-0025,02/08/2016,External,Conduct Unbecoming,Completed,Insufficent Evidence,
16-0281,11/14/2016,External,Carry Credent/Identification,Completed,Corrective Action Taken,
16-0299,12/06/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0316,12/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0281,11/14/2016,External,Courtesy,Completed,Corrective Action Taken,
16-0317,01/04/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0301,12/06/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0306,12/19/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0309,12/28/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0319,01/04/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0313,12/28/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
22-0062,04/11/2022,External,Conduct Unbecoming,Completed,Exonerated,
17-0018,01/27/2017,External,Conformance to Law,Completed,Corrective Action Taken,
17-0013,01/24/2017,External,Conformance to Law,Completed,No Corrective Action Tak,
16-0281,11/14/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0048,02/15/2017,External,Discrim/Race/Sex,Completed,Declined,
16-0316,12/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0301,12/06/2016,External,Conformance to Law,Completed,Administrative Closure,
16-0309,12/28/2016,External,Conformance to Law,Completed,No Corrective Action Tak,
17-0046,02/14/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
15-0132,07/21/2015,External,Conduct Unbecoming,Completed,Unfounded,
15-0203,11/16/2015,External,Courtesy,Completed,Administrative Closure,
16-0119,05/31/2016,External,Conformance to Law,Completed,Unfounded,
15-0203,11/16/2015,External,Use of Force,Completed,Exonerated,
17-0050,02/16/2017,Internal,Abuse of Process,Completed,Administrative Closure,
17-0286,12/14/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Sustained,
17-0057,02/28/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
15-0203,11/16/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
17-0003,01/17/2017,External,Maintenance of Property,Completed,Corrective Action Taken,
17-0062,03/06/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
17-0003,01/17/2017,External,Courtesy,Completed,Corrective Action Taken,
17-0004,01/17/2017,External,Maintenance of Property,Completed,Corrective Action Taken,
17-0007,01/17/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0304,12/06/2016,Internal,Maintenance of Property,Completed,Corrective Action Taken,
17-0049,02/16/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0042,02/09/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0055,02/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0024,02/02/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0019,01/31/2017,External,Maintenance of Property,Completed,No Corrective Action Tak,
17-0044,02/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0315,12/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
16-0311,12/28/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0039,02/09/2017,External,Courtesy,Completed,Corrective Action Taken,
17-0019,01/31/2017,External,Courtesy,Completed,Corrective Action Taken,
17-0047,02/15/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0059,02/28/2017,External,Conformance to Law,Completed,No Corrective Action Tak,
16-0213,09/07/2016,External,Conformance to Law,Completed,Corrective Action Taken,
16-0337,01/13/2017,External,Courtesy,Completed,Corrective Action Taken,
19-0177,10/01/2019,Internal,Conformance to Law,Completed,Unfounded,
17-0015,01/25/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0029,02/06/2017,External,Conformance to Law,Completed,No Corrective Action Tak,
17-0043,02/10/2017,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
17-0056,02/27/2017,External,Carry Credent/Identification,Completed,No Corrective Action Tak,
21-0005,01/13/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
17-0041,02/09/2017,External,Conformance to Law,Completed,Corrective Action Taken,
16-0154,07/11/2016,External,Conformance to Law,Completed,Corrective Action Taken,
17-0056,02/27/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
17-0063,03/06/2017,External,Conformance to Law,Completed,No Corrective Action Tak,
19-0177,10/01/2019,Internal,Conduct Unbecoming,Completed,Unfounded,
20-0158,09/10/2020,External,Courtesy,Completed,Declined,
20-0138,08/10/2020,External,Abuse of Process,Completed,Insufficent Evidence,
20-0155,09/10/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0192,10/14/2019,Internal,Use of Force,Completed,Exonerated,
17-0286,12/14/2017,Internal,Courtesy,Completed,Administrative Closure,
21-0003,01/13/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
16-0021,02/03/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0046,03/26/2019,Internal,Conformance to Law,Completed,Administrative Closure,
20-0081,04/16/2020,Internal,Conduct Unbecoming,Completed,Corrective Action Taken,
19-0046,03/26/2019,Internal,Conduct Unbecoming,Completed,Administrative Closure,
14-0017,02/03/2014,External,Courtesy,Completed,No Corrective Action Tak,
16-0089,04/21/2016,External,Abuse of Authority,Completed,No Corrective Action Tak,
20-0132,08/03/2020,External,Use of Force,Completed,Administrative Closure,
14-0236,12/11/2014,External,,Completed,,
20-0203,12/09/2020,External,Conformance to Law,Completed,Declined,
19-0255,12/23/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
14-0175,08/20/2014,Internal,,Completed,,
19-0255,12/23/2019,External,Conformance to Law,Completed,Administrative Closure,
20-0202,12/09/2020,External,Courtesy,Completed,Declined,
20-0184,10/15/2020,External,Courtesy,Completed,No Corrective Action Tak,
20-0132,08/03/2020,External,Courtesy,Completed,Corrective Action Taken,
16-0013,01/15/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0046,03/26/2019,Internal,Conduct Unbecoming,Completed,Sustained,
20-0203,12/09/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0255,12/23/2019,External,Use of Force,Completed,Exonerated,
19-0255,12/23/2019,External,Courtesy,Completed,Administrative Closure,
14-0022,02/04/2014,Internal,Conduct Unbecoming,Completed,Administrative Closure,
19-0255,12/23/2019,External,Conduct Unbecoming,Completed,Administrative Closure,
17-0045,02/13/2017,External,Conformance to Law,Completed,No Corrective Action Tak,
14-0038,02/24/2014,External,,Completed,,
16-0338,01/13/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
15-0053,04/01/2015,Internal,Conformance to Law,Completed,Exonerated,
17-0071,03/21/2017,External,Courtesy,Completed,Corrective Action Taken,
17-0014,01/25/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0163,09/16/2020,External,Abuse of Process,Completed,Declined,
15-0166,09/14/2015,External,,Completed,,
20-0164,09/16/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0161,09/16/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
15-0170,09/16/2015,External,Use of Force,Completed,Exonerated,
20-0163,09/16/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
20-0162,09/16/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
21-0117,07/26/2021,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
19-0151,09/03/2019,External,Untruthful Statements,Completed,Unfounded,
19-0228,11/19/2019,External,Conduct Unbecoming,Completed,No Corrective Action Tak,
15-0209,11/24/2015,External,,Completed,,
21-0011,01/19/2021,Internal,Use of Force,Completed,Exonerated,
19-0151,09/03/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
16-0238,09/29/2016,External,,Completed,,
15-0229,12/23/2015,External,Untruthful Statements,Completed,Administrative Closure,
14-0087,05/01/2014,External,Use of Force,Completed,Administrative Closure,
15-0170,09/16/2015,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
15-0165,09/10/2015,External,,Completed,,
21-0087,05/12/2021,External,Conformance to Law,Completed,Declined,
19-0103,06/26/2019,Internal,Conformance to Law,Completed,No Corrective Action Tak,
22-0099,06/01/2022,Internal,Neglect of Duty/Unsatisfactory Performance,Active,,Trial Board
19-0094,06/14/2019,Internal,Conformance to Law,Completed,Administrative Closure,
19-0151,09/03/2019,External,Conformance to Law,Completed,Unfounded,
19-0126,07/30/2019,External,Courtesy,Completed,Administrative Closure,
19-0103,06/26/2019,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
19-0179,10/07/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
14-0107,05/16/2014,Internal,,Completed,,
15-0158,08/25/2015,External,,Completed,,
23-0069,04/19/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Active,,Trial Board
20-0177,10/01/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
17-0071,03/21/2017,External,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
21-0011,01/19/2021,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Exonerated,
20-0178,10/01/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0200,10/15/2019,External,Courtesy,Completed,Administrative Closure,
19-0109,07/16/2019,Internal,Conduct Unbecoming,Completed,Sustained,
14-0238,12/11/2014,External,,Completed,,
13-0272,10/07/2013,,,Completed,,
15-0146,08/10/2015,External,,Completed,,
14-0170,08/13/2014,External,,Completed,,
13-0344,12/18/2013,External,Courtesy,Completed,Administrative Closure,
19-0200,10/15/2019,External,Conformance to Law,Completed,Unfounded,
16-0183,08/12/2016,External,,Completed,,
16-0252,10/25/2016,External,,Completed,,
19-0200,10/15/2019,External,Conduct Unbecoming,Completed,Administrative Closure,
16-0135,06/21/2016,External,,Completed,,
14-0017,02/03/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
16-0091,04/27/2016,Internal,Conformance to Law,Completed,Corrective Action Taken,
15-0053,04/01/2015,Internal,Conduct Unbecoming,Completed,Exonerated,
13-0285,10/18/2013,External,,Completed,,
15-0092,05/22/2015,External,,Completed,,
16-0091,04/27/2016,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Corrective Action Taken,
14-0103,05/16/2014,External,Courtesy,Completed,Declined,
13-0232,08/29/2013,External,,Completed,,
13-0312,11/19/2013,External,,Completed,,
15-0170,09/16/2015,External,Conformance to Law,Completed,Exonerated,
15-0187,10/09/2015,External,Abuse of Process,Completed,Administrative Closure,
16-0175,08/02/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
13-0344,12/18/2013,External,Use of Force,Completed,Administrative Closure,
16-0110,05/23/2016,External,,Completed,,
17-0120,05/31/2017,Internal,Use of Force,Completed,Sustained,
13-0344,12/18/2013,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
19-0200,10/15/2019,External,Use of Force,Completed,Administrative Closure,
20-0175,10/01/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
17-0120,05/31/2017,Internal,Courtesy,Completed,Administrative Closure,
19-0200,10/15/2019,External,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
17-0120,05/31/2017,Internal,Conformance to Law,Completed,Administrative Closure,
21-0208,11/03/2021,External,Discrim/Harassment/Use of Derogatory Language,Completed,Declined,
15-0169,09/16/2015,External,,Completed,,
16-0239,09/29/2016,External,Courtesy,Completed,No Corrective Action Tak,
14-0020,02/03/2014,External,Neglect of Duty/Unsatisfactory Performance,Completed,No Corrective Action Tak,
20-0176,10/01/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0109,07/16/2019,Internal,Conformance to Law,Completed,Sustained,
20-0174,10/01/2020,External,Conformance to Law,Completed,Declined,
15-0167,09/14/2015,Internal,,Completed,,
15-0187,10/09/2015,External,Abuse of Authority,Completed,Administrative Closure,
19-0200,10/15/2019,External,Untruthful Statements,Completed,Unfounded,
20-0202,12/09/2020,External,Neglect of Duty/Unsatisfactory Performance,Completed,Declined,
19-0179,10/07/2019,External,Courtesy,Completed,No Corrective Action Tak,
14-0024,02/06/2014,External,Conduct Unbecoming,Completed,No Corrective Action Tak,
23-0225,10/25/2023,Internal,Neglect of Duty/Unsatisfactory Performance,Active,,Charging
21-0125,07/27/2021,External,Conformance to Law,Completed,Declined,
15-0128,07/14/2015,External,,Completed,,
16-0091,04/27/2016,Internal,Compliance with Orders,Completed,Insufficent Evidence,
14-0022,02/04/2014,Internal,Neglect of Duty/Unsatisfactory Performance,Completed,Administrative Closure,
18-0215,11/13/2018,External,Conduct Unbecoming,Completed,Sustained,
15-0006,01/08/2015,External,,Completed,,
16-0066,03/29/2016,External,Conduct Unbecoming,Completed,Sustained,
17-0082,04/11/2017,External,,Completed,,
16-0066,03/29/2016,External,Discrim/Race/Sex,Completed,Administrative Closure,
16-0066,03/29/2016,External,Neglect of Duty/Unsatisfactory Performance,Completed,Unfounded,
16-0066,03/29/2016,External,Conformance to Law,Completed,Exonerated,
17-0078,04/11/2017,External,,Completed,,
